sl no,work,status,year,garam,work type,Total
,(1504009014/IF/93393042892591508),,,,,
1382,_______ ______ _____ _______ _____ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892591509),,,,,
1383,_______ ______ ______ __ _____ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892591920),,,,,
1384,_______ ______ _____ __ _____ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892591921),,,,,
1385,_______ ______ _______ _ ____ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892591923),,,,,
1386,_______ ______ _______ __ ____ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892591924),,,,,
1387,_______ ______ ________ _ _____ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892591925),,,,,
1388,_______ ______ ______ __ _____ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892591926),,,,,
1389,_______ ______ _____________ __ _____ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892591927),,,,,
1390,_______ ______ ______ _ _____ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892591928),,,,,
1391,_______ ______ _______ __ ______ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892591929),,,,,
1392,_______ ______ _________ _ _____ ___ _________ ___ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892593166),,,,,
1393,_______ ______ _____ __ _____ ___ _____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892595151),,,,,
1394,_______ ______ _____ _ ______ ___ _____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892595156),,,,,
1395,_______ ______ ________ _ _____ ___ _____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892595159),,,,,
1396,_______ ______ _______ _ _____ ___ _____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892595160),,,,,
1397,_______ ______ _______ __ _____ ___ _____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892595162),,,,,
1398,_______ ______ ______ __ ______ ___ _____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892595174),,,,,
1399,_______ ______ _____ _ ______ ___ _____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892595176),,,,,
1400,_______ ______ ____ _______ _______ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892596159),,,,,
1401,_______ ______ _______ _ ______ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892596160),,,,,
1402,_______ ______ _______ _ _______ ___ _____ ____ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892596161),,,,,
1403,_______ ______ ________ _____ ___________ ___ ___ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892596162),,,,,
1404,_______ ______ ______ ______ _____ ___ ___ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892596163),,,,,
1405,_______ ______ ______ ________ ___________ ___ ___ _____ _______,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892596198),,,,,
1406,_______ ______ ______ _______ ____ ___ _____ ____ _____ _______,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892596828),,,,,
1407,_______ ______ ______ _____ ______ ___ ___ __ _ ________ ___ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892597004),,,,,
1408,_______ ______ ______ ________ ______ ___ ___ __ _ ________ ___ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892597011),,,,,
1409,_______ ______ _______ _____ _______ ___ ___ _____ _______,Approved,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892597018),,,,,
1410,_______ ______ _________ _ _______ ___ _____ ____ _____ _______,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892597021),,,,,
1411,_______ ______ _________ _ _______ ___ _____ ____ _____ _______,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892597022),,,,,
1412,_______ ______ _______ _____ _______ ___ ___ _____ _______,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892597023),,,,,
1413,_______ ______ _____ __ _____ ___ _____ ____ _____ _______,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892597024),,,,,
1414,_______ ______ _____ __ _____ ___ _____ ____ _____ _______,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892597025),,,,,
1415,_______ ______ _______ __ _____ ___ _____ ____ _____ _______,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892597425),,,,,
1416,_______ ______ _________ ________ _____ ___ _____ ____ _____ _______,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892597427),,,,,
1417,_______ ______ ________ _______ _____ ___ _____ ____ _____ _______,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892597428),,,,,
1418,_______ ______ _____ ______ __________ ___ _____ ____ _____ _______,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892597430),,,,,
1419,_______ ______ ______ ______ __________ ___ _____ ____ _____ _______,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892597431),,,,,
1420,_______ ______ _____ __ _____ ___ ___ _____ _______,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892597478),,,,,
1421,_______ ______ _______ _ _____ ___ _____ ____ _____ _______,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892597481),,,,,
1422,______ ______ ______ ___ ___ _____ _______,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892597485),,,,,
1423,_______ ______ _______ _____ ___ ___ _____ _______,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892597486),,,,,
1424,_______ ______ _____ _ ____ ___ ___ _____ _______,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892599119),,,,,
1425,_______ ______ _______ __ _____ ___ ___ _____ _______,New,2020-2021,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892599120),,,,,
1426,_____ _________ ___ _______,Completed,2009-2010,Gram Panchayat,Works on Individuals Land (Category IV),0.328
,(1504009014/IF/965663),,,,,
1427,"________ ____/____ ____ __,_____ __________ ___ __",Completed,2008-2009,Gram Panchayat,Works on Individuals Land (Category IV),0.082
,(1504009014/IF/965666),,,,,
1428,_____ ____ _____ __________,Completed,2008-2009,R.D.Deptt.,Land Development,0.1
,(1504009014/LD/403),,,,,
1429,_______ __________ ____ _____________ ___ ____ ___,Completed,2007-2008,R.D.Deptt.,Land Development,0.41292
,(1504009014/LD/61578),,,,,
1430,_______ _______ ______ _________.,Completed,2007-2008,R.D.Deptt.,Land Development,0.3996
,(1504009014/LD/61704),,,,,
1431,1504009014/LD/61709,Completed,2008-2009,Gram Panchayat,Land Development,0.7326
,(1504009014/LD/61709),,,,,
1432,_______ __________ _____ ____ _____ _________.,Completed,2008-2009,R.D.Deptt.,Land Development,0.41398
,(1504009014/LD/62218),,,,,
1433,__________ ______ ____ _____ ______ _________.,Completed,2008-2009,R.D.Deptt.,Land Development,0.80908
,(1504009014/LD/62219),,,,,
1434,_____ ____ _____ _______.,Completed,2009-2010,R.D.Deptt.,Land Development,0.747
,(1504009014/LD/69075351),,,,,
1435,_______ ______ _____ ____ __________ ______ ______ ____ _______,Completed,2010-2011,Gram Panchayat,Land Development,5.00392
,(1504009014/LD/69094298),,,,,
1436,________ ______ _____ ____ ______ ____ _______.,Completed,2010-2011,Gram Panchayat,Land Development,2.62467
,(1504009014/LD/69094426),,,,,
1437,________ ______ ________ ______ ____.,Completed,2010-2011,Gram Panchayat,Land Development,4.00653
,(1504009014/LD/69099022),,,,,
1438,______ __________ ______ _______ _____ ___ ____ ______ ______ ____ _______,Approved,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892020872),,,,,
1439,______ __________ ________ _____ _______ ___ _______ _______ _____ _____ ___ _________ ______ ____ _,Approved,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892020877),,,,,
1440,________ ______ _________ _______ _____ _____ ______ ____ _______,Approved,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892020882),,,,,
1441,________ ______ _________ ______ ____ _______,Approved,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892020887),,,,,
1442,__________ __________ _____ ______ ____ _______,Approved,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892020892),,,,,
1443,___________ _________ _________ ______ ____ _______,New,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892021160),,,,,
1444,________ ____ ____ _____ ____ ______ ____ ___________,Approved,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892021161),,,,,
1445,________ _________ _______ _______ _____ _______,New,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892021162),,,,,
1446,____ ________ ____ ___ ______ ______ _______ _______ ____ ___ _________ __ __ _____ _______,New,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892021163),,,,,
1447,_______ ______ _______ ______ _____ ______ ___ _________ __ __ _____ _______,New,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892021164),,,,,
1448,______ ________ ___ _______ _______ _____ ____ _________ __ __ _____ _______,New,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892021165),,,,,
1449,______ ______ ____ ___ _______ ________ ___________ ___________ _________ __ __ _____ _______,New,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892021166),,,,,
1450,_____ _________ ______ _________ __.__ _________,New,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892021167),,,,,
1451,_____ _________ ________ __________ _________ __.__ _________,New,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892021169),,,,,
1452,_______ ______ ___ _______ _______ ______ __________ __ __ _____,New,2018-2019,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892021170),,,,,
1453,________ _______ ________ ______ ________ ______ ____ _______,Completed,2018-2019,Gram Panchayat,Land Development,1.24436
,(1504009014/LD/93393042892034382),,,,,
1454,_______ ______ _____ _____ ___ _____ _________ ________.,On Going,2018-2019,Gram Panchayat,Land Development,2.57217
,(1504009014/LD/93393042892035635),,,,,
1455,_______ ______ _____ _____ _______ _______,Approved,2019-2020,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892037342),,,,,
1456,________ __________ ________ ___ _____ _________ ________,On Going,2019-2020,Gram Panchayat,Land Development,0.46812
,(1504009014/LD/93393042892208330),,,,,
1457,_______ ______ _____ _____ ___ _____ _________,On Going,2019-2020,Gram Panchayat,Land Development,1.86501
,(1504009014/LD/93393042892208331),,,,,
1458,_______ ______ ________ ____ _____ _____ ___ _____ _________,On Going,2019-2020,Gram Panchayat,Land Development,0.57519
,(1504009014/LD/93393042892210102),,,,,
1459,______ ______ ________ ___ _____ _________,Approved,2019-2020,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892211166),,,,,
1460,_______ ______ _____ _____ ___ _____ _________,Approved,2019-2020,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892213557),,,,,
1461,__________ ______ ________ _______ ___ _____ _________ ________,New,2020-2021,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892221388),,,,,
1462,________ ______ ________ _________ ________,New,2020-2021,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892221389),,,,,
1463,_______ ______ ________ _________ ________,New,2020-2021,Gram Panchayat,Land Development,0
,(1504009014/LD/93393042892221390),,,,,
1464,_______ ______ ______ _____ _____ ____ _______ ______ ____ _________ ________,On Going,2020-2021,Gram Panchayat,Land Development,0.638
,(1504009014/LD/93393042892230857),,,,,
1465,______ ______ ____ _______ __________ ___ ____ _______,Completed,2010-2011,Gram Panchayat,Land Development,2.50898
,(1504009014/LD/9447705649013),,,,,
1466,_______ __________ ____ __________ _____ ______ __,Completed,2011-2012,Gram Panchayat,Land Development,0.9913
,(1504009014/LD/9447705674510),,,,,
1467,_______ __________ ____ ________ _____ ______ ______ ____ _______.,Completed,2011-2012,Gram Panchayat,Land Development,0.6
,(1504009014/LD/9447705674515),,,,,
1468,______ __________ _____ ______ ______ ____ _______,Completed,2011-2012,Gram Panchayat,Land Development,0.998
,(1504009014/LD/9447705674519),,,,,
1469,_______ __________ _____ ______ ______ ____ ______,Completed,2011-2012,Gram Panchayat,Land Development,0.9984
,(1504009014/LD/9447705674523),,,,,
1470,________ __________ _____ ______ ______ ____ _____,Completed,2011-2012,Gram Panchayat,Land Development,0.9985
,(1504009014/LD/9447705674528),,,,,
1471,________ __________ ________ ______ ____ _______.,Completed,2011-2012,Gram Panchayat,Land Development,0.983
,(1504009014/LD/9447705674529),,,,,
1472,________ ______ ________ ______ ____ _______. 1,Completed,2011-2012,Gram Panchayat,Land Development,0.9858
,(1504009014/LD/9447705697359),,,,,
1473,________ ______ ________ ______ ____ _______. ____,Completed,2011-2012,Gram Panchayat,Land Development,1.9858
,(1504009014/LD/9447705697363),,,,,
1474,_______ ______ _____ ______ ______ _________ _____,Completed,2011-2012,Gram Panchayat,Land Development,1.0671
,(1504009014/LD/9447705698407),,,,,
1475,Narasapur Villege _____ ____ ______ ____ _______.,Completed,2011-2012,Gram Panchayat,Land Development,2.96145
,(1504009014/LD/9447705698408),,,,,
1476,_______ ______ _______ _____ ______ _________.,Completed,2011-2012,Gram Panchayat,Land Development,0.9999
,(1504009014/LD/9447705698791),,,,,
1477,______ ______ _____ ______ _________.,Completed,2011-2012,Gram Panchayat,Land Development,1.49585
,(1504009014/LD/9447705699059),,,,,
1478,______ __________ ______ _______,Completed,2015-2016,Gram Panchayat,Land Development,1.96108
,(1504009014/LD/9447705755078),,,,,
1479,_______ __________ _.__. ____ _____ _______,Completed,2015-2016,Gram Panchayat,Land Development,2.98663
,(1504009014/LD/9447705755096),,,,,
1480,________ ______ _________ ___ _____ _______,Completed,2015-2016,Gram Panchayat,Land Development,0.9898
,(1504009014/LD/9447705758481),,,,,
1481,_________ __________ _.__.____ _____ _________ ________,Completed,2015-2016,Gram Panchayat,Land Development,2.91594
,(1504009014/LD/9447705758643),,,,,
1482,_______ __________ _____ _____ _____ _________ _________,Completed,2015-2016,Gram Panchayat,Land Development,0.92104
,(1504009014/LD/9447705758964),,,,,
1483,________ __________ _________ _____ ____ _______,Completed,2015-2016,Gram Panchayat,Land Development,2.44085
,(1504009014/LD/9447705759302),,,,,
1484,_______ __________ _____ _______ ________ ______________ _____ _______,Completed,2015-2016,Gram Panchayat,Land Development,1.53368
,(1504009014/LD/9447705761085),,,,,
1485,________ ______ _____ _________ ____ ___________ _____ _______,Completed,2015-2016,Gram Panchayat,Land Development,2.49178
,(1504009014/LD/9447705761514),,,,,
1486,________ ______ _____ _________ __________ _____ _______,Completed,2015-2016,Gram Panchayat,Land Development,1.8007
,(1504009014/LD/9447705762842),,,,,
1487,________ ______ _____ _________ ____ _________ _____ _______,Completed,2015-2016,Gram Panchayat,Land Development,3.40264
,(1504009014/LD/9447705765633),,,,,
1488,_______ ______ _____ ________ _____ ____ ________ ________ _____ _______,Completed,2015-2016,Gram Panchayat,Land Development,2.03648
,(1504009014/LD/9447705765650),,,,,
1489,_______ __________ ______ _____ ____ _____ ____ ______ ____ _______,Completed,2015-2016,Gram Panchayat,Land Development,2.96139
,(1504009014/LD/9447705765659),,,,,
1490,________ __________ __________ _____ _____ _______,Completed,2015-2016,Gram Panchayat,Land Development,1.19878
,(1504009014/LD/9447705765673),,,,,
1491,_______ ______ ____ _____ ________ _______ _____ __________,Completed,2015-2016,Gram Panchayat,Land Development,1.19952
,(1504009014/LD/9447705765957),,,,,
1492,______ __________ ____ ___ _____ __________ _________,Completed,2015-2016,Gram Panchayat,Land Development,1.89108
,(1504009014/LD/9447705766227),,,,,
1493,________ _______ ________ ______ _______ _ _______ ___ _______ ____ _____ _____ ____ _____ _______,Completed,2016-2017,Gram Panchayat,Land Development,2.97228
,(1504009014/LD/9447705773038),,,,,
1494,________ ______ _________ ____ ______ ______ ____ _______,Completed,2016-2017,Gram Panchayat,Land Development,2.97338
,(1504009014/LD/9447705773264),,,,,
1495,_______ ______ ___ _________ ______ _________ _____ ______ _________ ______ ____________ ___________,Completed,2016-2017,Gram Panchayat,Land Development,2.91528
,(1504009014/LD/9447705773870),,,,,
1496,_______ ______ _____ ______ _________ _____ ____ ______ ____ _______ _____ __.__._______,Completed,2016-2017,Gram Panchayat,Land Development,2.94669
,(1504009014/LD/9447705773873),,,,,
1497,_______ ______ _____ ____ ___ _____ _________ ________,Completed,2016-2017,Gram Panchayat,Land Development,4.86286
,(1504009014/LD/9447705774521),,,,,
1498,__________ ______ ________ ______ ____ _______,Completed,2016-2017,Gram Panchayat,Land Development,2.97256
,(1504009014/LD/9447705774544),,,,,
1499,_______ __________ ____ __________ _____ ____ ______ ____ _______,Completed,2016-2017,Gram Panchayat,Land Development,2.90925
,(1504009014/LD/9447705776884),,,,,
1500,_______ __________ ___.__.______ _________ ________,Completed,2016-2017,Gram Panchayat,Land Development,4.07074
,(1504009014/LD/9447705778419),,,,,
1501,_______ __________ ______ ____ ______ ____ _______,On Going,2017-2018,Gram Panchayat,Land Development,3.48405
,(1504009014/LD/9447705787292),,,,,
1502,________ __________ ________ ______ ______ ____ _______,physical complete,2017-2018,Gram Panchayat,Land Development,3.95677
,(1504009014/LD/9447705787325),,,,,
1503,_______ __________ _____ ____ _____ ____ _______,Completed,2017-2018,Gram Panchayat,Land Development,4.59972
,(1504009014/LD/9447705787787),,,,,
1504,_______ __________ ________ ____ ________ ____ _______,Completed,2017-2018,Gram Panchayat,Land Development,4.205
,(1504009014/LD/9447705789149),,,,,
1505,_______ __________ _____ ______ ______ ______ ____ _______,On Going,2017-2018,Gram Panchayat,Land Development,3.02438
,(1504009014/LD/9447705790013),,,,,
1506,______ __________ _____ _______ ____________ ___ ___ ______ ______ ____ _______,Completed,2017-2018,Gram Panchayat,Land Development,2.71044
,(1504009014/LD/9447705790047),,,,,
1507,______ __________ ____ _______ ___ ___ ______ ______ ____ _______,On Going,2017-2018,Gram Panchayat,Land Development,1.74434
,(1504009014/LD/9447705790048),,,,,
1508,______ __________ ______ _____ ________ _________ __.__ _____ _______,On Going,2017-2018,Gram Panchayat,Land Development,0.55224
,(1504009014/LD/9447705791575),,,,,
1509,______ ______ 3__ _______ ________ ______ 01 _______ ______ ____ _______,physical complete,2017-2018,Gram Panchayat,Land Development,1.61856
,(1504009014/LD/9447705791709),,,,,
1510,______ __________ ______ ____ ___ _______ ______ ________ __________ __.__ _____ _______,physical complete,2017-2018,Gram Panchayat,Land Development,2.58503
,(1504009014/LD/9447705791882),,,,,
1511,______ __________ __ _______.,Completed,2013-2014,Gram Panchayat,Other Works,1.4726
,(1504009014/OP/8808501246),,,,,
1512,_______ __________ ______ __ _______,Completed,2015-2016,Gram Panchayat,Other Works,1.96668
,(1504009014/OP/8808509614),,,,,
1513,________ __________ ______ _______ ___ ____ ______ ________ ______ _____ ______ _______,Completed,2017-2018,Gram Panchayat,Other Works,0.46405
,(1504009014/OP/8808522476),,,,,
1514,________ __________ _____ ______ ________ ______ _____ ______ _______,Completed,2017-2018,Gram Panchayat,Other Works,0.46642
,(1504009014/OP/8808522477),,,,,
1515,_______ __________ _____ ____ ____ ______ ________ _______ _____ ______ _______,Completed,2017-2018,Gram Panchayat,Other Works,0.45226
,(1504009014/OP/8808522490),,,,,
1516,__________ __________ ____ _________ ________ _______ _____ ______ _______,Completed,2017-2018,Gram Panchayat,Other Works,0.45952
,(1504009014/OP/8808522491),,,,,
1517,_______ __________ ______ ___ ___ ______ ________ _______ _____ ______ _______,Completed,2017-2018,Gram Panchayat,Other Works,0.45952
,(1504009014/OP/8808522493),,,,,
1518,________ __________ ___________ _________ ________ _______ _____ ______ _______,Completed,2017-2018,Gram Panchayat,Other Works,0.45952
,(1504009014/OP/8808522499),,,,,
1519,________ __________ ________ _____ __________ ________ _______ _____ ______ _______,Completed,2017-2018,Gram Panchayat,Other Works,0.45952
,(1504009014/OP/8808522500),,,,,
1520,_______ __________ _____ _____ ___ ______ ______ ________ _______ _____ ______ _______,New,2017-2018,Gram Panchayat,Other Works,0
,(1504009014/OP/8808522567),,,,,
1521,_______ __________ _____ _____ ___ ______ ______ ________ _______ _____ ______ _______,New,2017-2018,Gram Panchayat,Other Works,0
,(1504009014/OP/8808522568),,,,,
1522,_______ __________ _____ _____ ___ ______ ______ ________ _______ _____ ______ _______,Completed,2017-2018,Gram Panchayat,Other Works,0.45952
,(1504009014/OP/8808522569),,,,,
1523,_______ __________ ____ ________ ________ ________ _______ _____ ______ _______,Completed,2017-2018,Gram Panchayat,Other Works,0.45952
,(1504009014/OP/8808522570),,,,,
1524,________ __________ _________ _ ______ ___ ___ ______ ________ _______ _____ ______ _______,Completed,2017-2018,Gram Panchayat,Other Works,0.45952
,(1504009014/OP/8808522574),,,,,
1525,______ __________ _______ _ ______ ___ ____ ______ ________ _______ _____ ______ _______,Completed,2017-2018,Gram Panchayat,Other Works,0.45952
,(1504009014/OP/8808522577),,,,,
1526,______ __________ ________ ____ ______ ________ _______ _____ ______ _______,Completed,2017-2018,Gram Panchayat,Other Works,0.44536
,(1504009014/OP/8808522578),,,,,
1527,_______ __________ _______ ___ ______ ________ _______ _____ ______ _______,physical complete,2017-2018,Gram Panchayat,Other Works,0.09912
,(1504009014/OP/8808522580),,,,,
1528,______ __________ _____ _ ____ ___ _________ ________ _______ _____ ______ _______,Completed,2017-2018,Gram Panchayat,Other Works,0.45952
,(1504009014/OP/8808523950),,,,,
1529,______ __________ _______ ______ ___ ___ ______ ________ _______ _____ ______ _______,physical complete,2017-2018,Gram Panchayat,Other Works,0.11328
,(1504009014/OP/8808523951),,,,,
1530,______ __________ _____ ________ _______ ___ ____ ______ ________ _______ _____ ______ _______,Completed,2017-2018,Gram Panchayat,Other Works,0.48784
,(1504009014/OP/8808525175),,,,,
1531,______ __________ _____ _____ ______ ___ ____ ______ ________ _______ _____ ______ _______,Completed,2017-2018,Gram Panchayat,Other Works,0.44536
,(1504009014/OP/8808525177),,,,,
1532,______ __________ _____ _________ ___ _____ ______ ________ _______ _____ ______ _______,New,2017-2018,Gram Panchayat,Other Works,0
,(1504009014/OP/8808525287),,,,,
1533,______ __________ _____ _________ ___ _____ ______ ________ _______ _____ ______ _______,physical complete,2017-2018,Gram Panchayat,Other Works,0.45618
,(1504009014/OP/8808525288),,,,,
1534,______ __________ ______ ____ ___ ____ ______ ________ ______ _____ ______ _______,physical complete,2017-2018,Gram Panchayat,Other Works,0.4784
,(1504009014/OP/93393042892018288),,,,,
1535,______ __________ ______ _ ______ ___ ____ ______ ________ ______ _____ ______ _______,physical complete,2017-2018,Gram Panchayat,Other Works,0.46188
,(1504009014/OP/93393042892018289),,,,,
1536,______ __________ ________ ________ ___ ____ ______ ________ ______ _____ ______ _______,physical complete,2017-2018,Gram Panchayat,Other Works,0.42884
,(1504009014/OP/93393042892018290),,,,,
1537,______ __________ _______ ______ ___ ____ ______ ________ ______ _____ ______ _______,physical complete,2017-2018,Gram Panchayat,Other Works,0.4312
,(1504009014/OP/93393042892018291),,,,,
1538,_____ __ _________ ___ _____ ______ ________ _______ _____ ______ _______,Approved,2017-2018,Gram Panchayat,Other Works,0
,(1504009014/OP/93393042892018620),,,,,
1539,_______ ________ ___ ____ ______ ________ _______ _____ ______ _______,Approved,2017-2018,Gram Panchayat,Other Works,0
,(1504009014/OP/93393042892018621),,,,,
1540,2._______ ______ _____ ____ _____ ____ ___ _____ _,Completed,2013-2014,Gram Panchayat,Play Ground,2.68291
,(1504009014/PG/1252),,,,,
1541,________ __________ _.__ ____ ___ _____ _______,Completed,2015-2016,Gram Panchayat,Play Ground,2.97928
,(1504009014/PG/2462),,,,,
1542,_______ __________ ________ ____ ____ ___ _____ _________ ________,Completed,2015-2016,Gram Panchayat,Play Ground,0.56304
,(1504009014/PG/4190),,,,,
1543,_______ ______ _____ ____ _____ _________.,Completed,2013-2014,Gram Panchayat,Play Ground,2.8982
,(1504009014/PG/811),,,,,
1544,_______ __________ _______ _____ _______ _______,Completed,2015-2016,Gram Panchayat,Rural Connectivity,1.94248
,(1504009014/RC/17163601502234381),,,,,
1545,________ ______ _____ _________ ____ _________ _____ ________,Completed,2015-2016,Gram Panchayat,Rural Connectivity,3.60473
,(1504009014/RC/17163601502234403),,,,,
1546,______ ______ _______ ________ _________ ___ _______ ___ __________ ________ ____ _______,Completed,2015-2016,Gram Panchayat,Rural Connectivity,0.95183
,(1504009014/RC/17163601502235282),,,,,
1547,______ ______ ___ _________ _______ __________ _______ _____ _______,Completed,2015-2016,Gram Panchayat,Rural Connectivity,1.21551
,(1504009014/RC/17163601502235284),,,,,
1548,______ _____ _______.,Completed,2009-2010,Gram Panchayat,Rural Connectivity,0.98545
,(1504009014/RC/48584),,,,,
1549,_______ ______ _____ _________ ____ ________ __________ _____ _______,Completed,2016-2017,Gram Panchayat,Rural Connectivity,2.97398
,(1504009014/RC/93393042892018931),,,,,
1550,_______ ______ __________ ____________ ____ _____ _____ _______,Completed,2016-2017,Gram Panchayat,Rural Connectivity,2.95272
,(1504009014/RC/93393042892018940),,,,,
1551,_______ ______ _____ ____ ___ _______ ______ ____ ____ _____ ________ ____ ________ _____ _______,Completed,2016-2017,Gram Panchayat,Rural Connectivity,2.89872
,(1504009014/RC/93393042892024039),,,,,
1552,_______ ______ ________ _____ _______ _______ ____ _____ ___ _________ __.__. _____ _______,Completed,2016-2017,Gram Panchayat,Rural Connectivity,2.82026
,(1504009014/RC/93393042892031188),,,,,
1553,_______ __________ ______ _________ _______ _____ _______ ____ __.__ _____ _______,Completed,2017-2018,Gram Panchayat,Rural Connectivity,4.35227
,(1504009014/RC/93393042892043128),,,,,
1554,_______ __________ __________ _______ ___ _______ _____ _____ ____ __.__._____ _______,Completed,2017-2018,Gram Panchayat,Rural Connectivity,4.34588
